JnlTranID,Zip Code,DATE
15985840,46220,11/25/2014
15985841,46168,11/25/2014
15985844,46202,11/25/2014
15985845,46202,11/25/2014
15985847,46202,11/25/2014
15985848,48103,11/25/2014
15985850,46037,11/25/2014
15985852,46278,11/25/2014
15985947,46207,11/26/2014
15985952,46220,11/26/2014
15985961,46077,11/26/2014
15985962,46220,11/26/2014
15985970,46220,11/26/2014
15985988,46220,11/26/2014
15985991,45220,11/26/2014
15985999,44050,11/26/2014
15986035,46123,11/26/2014
15986037,46250,11/26/2014
15986039,46032,11/26/2014
15986046,46135,11/26/2014
15986048,46236,11/26/2014
15986051,47906,11/26/2014
15986054,46240,11/26/2014
15986058,46220,11/26/2014
15986079,34480,11/26/2014
15986090,46220,11/26/2014
15986092,47905,11/26/2014
15986096,46222,11/26/2014
15986099,46220,11/26/2014
15986104,46204,11/26/2014
15986105,46234,11/26/2014
15986114,47374,11/26/2014
15986115,46237,11/26/2014
15986116,46163,11/26/2014
15986117,47006,11/26/2014
15986118,47119,11/26/2014
15986119,46254,11/26/2014
15986127,45066,11/26/2014
15986129,27516,11/26/2014
15986130,46236,11/26/2014
15986131,46250,11/26/2014
15986132,46268,11/26/2014
15986134,46219,11/26/2014
15986141,46254,11/26/2014
15986143,60172,11/26/2014
15986150,35816,11/26/2014
15986151,46250,11/26/2014
15986152,46236,11/26/2014
15986173,75025,11/26/2014
15986193,46278,11/26/2014
15986227,46217,11/26/2014
15986231,47403,11/26/2014
15986232,90631,11/26/2014
15986239,46222,11/26/2014
15986249,46260,11/26/2014
15986250,46278,11/26/2014
15986265,46220,11/26/2014
15986266,95667,11/26/2014
15986275,46142,11/26/2014
15986289,46256,11/26/2014
15986300,46123,11/26/2014
15986301,46240,11/26/2014
15986302,46220,11/26/2014
15986304,46220,11/26/2014
15986309,46219,11/26/2014
15986319,46077,11/26/2014
15986322,11361,11/26/2014
15986323,46168,11/26/2014
15986324,46160,11/26/2014
15986326,46220,11/26/2014
15986329,46227,11/26/2014
15986333,36752,11/26/2014
15986343,46208,11/26/2014
15986365,46142,11/26/2014
15986368,46123,11/26/2014
15986380,46204,11/26/2014
15986392,46268,11/26/2014
15986572,46205,11/26/2014
15986574,46032,11/26/2014
15986576,46240,11/26/2014
15986578,46203,11/26/2014
15986583,46254,11/26/2014
15986587,46040,11/26/2014
15986589,46032,11/26/2014
15986590,46033,11/26/2014
15986592,46234,11/26/2014
15986596,46989,11/26/2014
15986597,46123,11/26/2014
15986598,46123,11/26/2014
15986606,46240,11/26/2014
15986677,46142,11/26/2014
15986678,46143,11/26/2014
15986679,46106,11/26/2014
15986680,46142,11/26/2014
15986683,46202,11/26/2014
15986684,46202,11/26/2014
15986696,46143,11/26/2014
15986697,46208,11/26/2014
15986699,46220,11/26/2014
15986702,47404,11/26/2014
15986710,46202,11/26/2014
15986715,46214,11/26/2014
15986717,46234,11/26/2014
15986718,46254,11/26/2014
15986719,46278,11/26/2014
15986720,46222,11/26/2014
15986721,46202,11/26/2014
15986723,46202,11/26/2014
15986796,46237,11/27/2014
15986797,46222,11/27/2014
15986804,46222,11/27/2014
15986810,45213,11/27/2014
15986811,46240,11/27/2014
15986814,46123,11/27/2014
15986816,47036,11/27/2014
15986820,46123,11/27/2014
15986835,46219,11/27/2014
15986840,46123,11/27/2014
15986843,46074,11/27/2014
15986845,79606,11/27/2014
15986887,46256,11/27/2014
15986888,46112,11/27/2014
15986894,45424,11/27/2014
15986897,46254,11/27/2014
15986898,46123,11/27/2014
15986900,46202,11/27/2014
15986901,46219,11/27/2014
15986914,46123,11/27/2014
15986915,46222,11/27/2014
15986917,46220,11/27/2014
15986918,46123,11/27/2014
15986920,46236,11/27/2014
15986922,46202,11/27/2014
15986928,46240,11/27/2014
15986931,46131,11/27/2014
15986933,46123,11/27/2014
15986935,46260,11/27/2014
15986937,46123,11/27/2014
15986941,46123,11/27/2014
15986942,30041,11/27/2014
15986946,46202,11/27/2014
